user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
116,252.17192,169.07,43.85,3.9,535.94,2002,340.53,652,1,1,1
117,263.43789,1154.13,211.12,2.95,5147.77,1523,2683.95,76,0,0,0
118,837.55274,2511.24,113.1,0.39,4976.77,2244,1544.19,66,0,0,0
119,393.30712,763.51,106.94,1.8,2065.65,1628,1088.96,164,0,1,0
120,642.37716,2110.33,114.53,1.87,8138.25,1228,2229.25,85,1,1,0
121,623.81383,2588.4,197.92,3.41,4202.02,1702,1512.03,136,1,1,0
122,460.80118,3275.35,115.01,0.72,1462.88,2738,1564.54,84,0,0,0
123,257.50337,3205.09,106.86,2.43,9653.85,1490,1170.39,64,0,0,0
124,141.84354,410.68,124.85,4.05,8590.39,1032,1299.91,71,0,1,1
125,278.42768,3727.83,1136.32,0.12,6535.07,1410,3360.63,39,0,0,0
126,165.24999,7253.16,328.39,0.43,16001.24,1367,3653.61,35,0,0,0
127,286.54752,9223.92,165.65,0.45,22092.88,871,6829.43,50,0,0,0
128,306.42266,1527.98,169.91,0.61,7265.29,1238,2160.34,88,1,1,0
129,641.85847,4410.52,357.93,1.86,6230.28,1143,1877.49,73,0,0,1
130,302.21335,738.03,56.19,1.67,9209.13,1539,1571.93,223,0,0,0
131,264.61025,5365.16,73.02,3.61,7586.57,1614,1834.05,493,0,0,0
132,210.15486,811.02,209.44,6.93,5172.86,1620,2323.74,47,0,1,1
133,453.93153,637.2,43.77,1.87,3688.17,2108,1563.16,290,0,0,0
134,126.95619,3557.73,80.84,0.3,7237.32,895,4717.72,171,1,0,1
135,421.39833,506.75,232.7,2.29,1158.33,3295,755.5,223,0,0,0
136,397.41649,4009.36,134.56,1.34,7640.58,1382,4652.72,97,0,0,0
137,525.45815,740.18,113.79,1.0,3901.56,2820,2376.57,407,0,1,0
138,518.38027,1852.18,317.26,1.86,3104.08,1588,1321.77,290,0,0,0
139,216.69512,1602.34,266.14,1.67,7049.36,1698,5573.85,119,0,0,0
140,718.55863,231.37,6.45,2.42,2627.68,2082,7487.97,127,0,0,0
141,101.51956,3593.01,81.51,5.08,2558.07,2599,891.73,533,0,0,0
142,330.72342,988.29,222.83,1.57,2792.5,1707,2572.03,84,0,0,0
143,144.11905,307.4,40.95,0.85,2246.36,2387,304.78,356,0,0,0
144,178.08394,1357.57,62.78,0.26,1255.52,2966,1013.01,253,0,0,0
145,432.82045,901.81,134.15,0.5,4005.43,991,2400.75,58,0,1,1
146,220.20458,2878.72,71.31,0.41,17389.0,999,2469.62,93,0,0,0
147,446.40484,4186.5,165.16,2.05,5913.07,1738,3155.92,75,1,0,0
148,805.03511,1956.25,58.75,1.12,6327.94,1229,1848.03,102,0,0,0
149,518.93294,2228.28,79.24,1.96,7138.52,1387,3554.29,106,0,0,0
150,640.09981,1443.07,77.0,1.67,6888.27,880,1096.31,118,0,0,0
151,158.23384,2533.27,164.74,2.04,5852.28,1155,1747.06,86,0,1,0
152,200.6338,662.75,103.7,1.27,4201.93,2040,537.02,268,0,0,0
153,790.46582,1646.96,1612.84,1.81,4681.5,1623,1846.17,75,0,0,1
154,799.01739,3922.05,603.36,0.18,11525.33,1119,3684.06,35,0,0,0
155,220.56398,2428.09,52.36,1.01,4867.31,1674,3747.48,47,0,0,0
156,550.72732,2791.84,93.91,2.34,2783.36,2743,1635.68,62,0,0,0
157,352.26434,1069.8,54.11,1.75,2825.71,2513,399.05,67,0,0,0
158,308.84074,968.33,126.77,1.11,1611.91,1801,963.36,320,0,0,0
159,126.51761,361.56,46.89,0.82,965.21,3564,1709.08,90,0,0,0
160,171.49052,162.89,97.34,6.35,622.81,2982,814.03,117,0,0,0
161,362.04084,4986.72,226.19,0.35,13296.82,1687,2729.99,162,0,0,0
162,134.13025,685.28,60.23,0.78,2184.13,1448,673.14,203,1,0,0
163,639.3184,1241.41,128.46,1.3,4490.44,1454,808.42,120,0,0,0
164,248.91379,1499.15,60.14,2.01,1950.59,1794,1265.82,258,0,1,0
165,108.04343,496.45,80.41,12.13,2207.22,2355,1328.33,136,0,0,0
